comp_id,market,address,sale_date,sale_price,bedrooms,bathrooms,square_feet,unit_count,cap_rate,price_per_unit,distance_miles,condition_score,source,confidence,notes
SC-0013,"San Antonio, TX",212 Fixture Sale Ave,2025-01-15,5296700.0,24,20.0,24928,8,0.0845,662087.5,1.69,6.6,synthetic_fixture,0.66,Synthetic sale comp for v5 UI and validation workflows.
SC-0014,"Raleigh, NC",213 Fixture Sale Ave,2026-02-15,1271600.0,16,8,9568,8,0.0494,158950.0,4.32,9.4,synthetic_fixture,0.64,Synthetic sale comp for v5 UI and validation workflows.
SC-0015,"Cleveland, OH",214 Fixture Sale Ave,2020-03-15,264000.0,3,2.5,1042,1,0.0833,264000.0,1.06,8.3,synthetic_fixture,0.61,Synthetic sale comp for v5 UI and validation workflows.
SC-0016,"Phoenix, AZ",215 Fixture Sale Ave,2021-04-15,807000.0,8,2,6270,2,0.046,403500.0,2.79,9.0,synthetic_fixture,0.72,Synthetic sale comp for v5 UI and validation workflows.
SC-0017,"Tampa, FL",216 Fixture Sale Ave,2022-05-15,233500.0,4,2.5,1333,1,0.0589,233500.0,9.73,8.4,synthetic_fixture,0.85,Synthetic sale comp for v5 UI and validation workflows.
SC-0018,"Kansas City, MO",217 Fixture Sale Ave,2023-06-15,560300.0,6,2,3120,2,0.0861,280150.0,6.75,5.1,synthetic_fixture,0.58,Synthetic sale comp for v5 UI and validation workflows.
SC-0019,"Columbus, OH",218 Fixture Sale Ave,2024-07-15,469100.0,2,2,3512,2,0.0728,234550.0,9.21,4.1,synthetic_fixture,0.6,Synthetic sale comp for v5 UI and validation workflows.
SC-0020,"Charlotte, NC",219 Fixture Sale Ave,2025-08-15,591900.0,8,10.0,2988,4,0.0755,147975.0,2.12,8.3,synthetic_fixture,0.69,Synthetic sale comp for v5 UI and validation workflows.
SC-0021,"Atlanta, GA",220 Fixture Sale Ave,2026-09-15,181900.0,3,2,1423,1,0.0527,181900.0,8.66,8.3,synthetic_fixture,0.72,Synthetic sale comp for v5 UI and validation workflows.
SC-0022,"Indianapolis, IN",221 Fixture Sale Ave,2020-10-15,557500.0,3,1.5,2197,1,0.0599,557500.0,4.3,4.7,synthetic_fixture,0.71,Synthetic sale comp for v5 UI and validation workflows.
SC-0023,"Dallas, TX",222 Fixture Sale Ave,2021-11-15,1437700.0,6,4,6076,2,0.0795,718850.0,4.19,7.9,synthetic_fixture,0.75,Synthetic sale comp for v5 UI and validation workflows.
SC-0024,"Jacksonville, FL",223 Fixture Sale Ave,2022-12-15,598900.0,6,6,3976,2,0.0906,299450.0,4.07,4.7,synthetic_fixture,0.79,Synthetic sale comp for v5 UI and validation workflows.
SC-0025,"San Antonio, TX",224 Fixture Sale Ave,2023-01-15,388900.0,6,6,1890,2,0.0723,194450.0,8.54,5.7,synthetic_fixture,0.56,Synthetic sale comp for v5 UI and validation workflows.
SC-0026,"Raleigh, NC",225 Fixture Sale Ave,2024-02-15,184700.0,3,3,1247,1,0.0558,184700.0,3.54,4.3,synthetic_fixture,0.63,Synthetic sale comp for v5 UI and validation workflows.
SC-0027,"Cleveland, OH",226 Fixture Sale Ave,2025-03-15,564600.0,2,4,2804,2,0.0463,282300.0,8.08,5.7,synthetic_fixture,0.88,Synthetic sale comp for v5 UI and validation workflows.
SC-0028,"Phoenix, AZ",227 Fixture Sale Ave,2026-04-15,1819800.0,32,12.0,8480,8,0.062,227475.0,7.9,8.5,synthetic_fixture,0.9,Synthetic sale comp for v5 UI and validation workflows.
SC-0029,"Tampa, FL",228 Fixture Sale Ave,2020-05-15,468500.0,8,5.0,2880,2,0.068,234250.0,2.61,8.3,synthetic_fixture,0.65,Synthetic sale comp for v5 UI and validation workflows.
SC-0030,"Kansas City, MO",229 Fixture Sale Ave,2021-06-15,1783200.0,8,4,7132,4,0.0594,445800.0,2.89,4.3,synthetic_fixture,0.72,Synthetic sale comp for v5 UI and validation workflows.
SC-0031,"Columbus, OH",230 Fixture Sale Ave,2022-07-15,2487600.0,8,10.0,12108,4,0.059,621900.0,4.4,9.3,synthetic_fixture,0.81,Synthetic sale comp for v5 UI and validation workflows.
SC-0032,"Charlotte, NC",231 Fixture Sale Ave,2023-08-15,1103600.0,8,5.0,4390,2,0.0729,551800.0,7.87,8.5,synthetic_fixture,0.76,Synthetic sale comp for v5 UI and validation workflows.
SC-0033,"Atlanta, GA",232 Fixture Sale Ave,2024-09-15,534500.0,2,3.0,4510,2,0.0507,267250.0,8.87,5.4,synthetic_fixture,0.73,Synthetic sale comp for v5 UI and validation workflows.
SC-0034,"Indianapolis, IN",233 Fixture Sale Ave,2025-10-15,877800.0,6,3.0,3474,2,0.0733,438900.0,0.53,8.2,synthetic_fixture,0.57,Synthetic sale comp for v5 UI and validation workflows.
SC-0035,"Dallas, TX",234 Fixture Sale Ave,2026-11-15,1791800.0,24,20.0,12888,8,0.0465,223975.0,5.68,6.2,synthetic_fixture,0.6,Synthetic sale comp for v5 UI and validation workflows.
SC-0036,"Jacksonville, FL",235 Fixture Sale Ave,2020-12-15,438900.0,1,2.5,2653,1,0.0814,438900.0,2.25,6.0,synthetic_fixture,0.8,Synthetic sale comp for v5 UI and validation workflows.
SC-0037,"San Antonio, TX",236 Fixture Sale Ave,2021-01-15,512100.0,3,2,3094,1,0.0891,512100.0,4.65,7.2,synthetic_fixture,0.61,Synthetic sale comp for v5 UI and validation workflows.
SC-0038,"Raleigh, NC",237 Fixture Sale Ave,2022-02-15,319600.0,4,3,2450,1,0.0878,319600.0,5.74,8.0,synthetic_fixture,0.68,Synthetic sale comp for v5 UI and validation workflows.
SC-0039,"Cleveland, OH",238 Fixture Sale Ave,2023-03-15,1484900.0,6,6,6352,2,0.0616,742450.0,4.62,6.8,synthetic_fixture,0.59,Synthetic sale comp for v5 UI and validation workflows.
SC-0040,"Phoenix, AZ",239 Fixture Sale Ave,2024-04-15,1420600.0,16,8,5960,4,0.077,355150.0,8.65,8.4,synthetic_fixture,0.72,Synthetic sale comp for v5 UI and validation workflows.
SC-0041,"Tampa, FL",240 Fixture Sale Ave,2025-05-15,441100.0,2,2,2867,1,0.0874,441100.0,1.7,7.3,synthetic_fixture,0.63,Synthetic sale comp for v5 UI and validation workflows.
SC-0042,"Kansas City, MO",241 Fixture Sale Ave,2026-06-15,478900.0,4,2.5,2648,1,0.0882,478900.0,2.78,4.2,synthetic_fixture,0.8,Synthetic sale comp for v5 UI and validation workflows.
SC-0043,"Columbus, OH",242 Fixture Sale Ave,2020-07-15,439200.0,4,2,1839,1,0.0762,439200.0,1.08,4.9,synthetic_fixture,0.69,Synthetic sale comp for v5 UI and validation workflows.
SC-0044,"Charlotte, NC",243 Fixture Sale Ave,2021-08-15,2277100.0,8,16,8200,8,0.0453,284637.5,1.44,8.8,synthetic_fixture,0.6,Synthetic sale comp for v5 UI and validation workflows.
SC-0045,"Atlanta, GA",244 Fixture Sale Ave,2022-09-15,1324100.0,24,16,10904,8,0.0726,165512.5,1.78,9.2,synthetic_fixture,0.75,Synthetic sale comp for v5 UI and validation workflows.
SC-0046,"Indianapolis, IN",245 Fixture Sale Ave,2023-10-15,621700.0,4,2.5,2511,1,0.0676,621700.0,2.8,5.1,synthetic_fixture,0.63,Synthetic sale comp for v5 UI and validation workflows.
SC-0047,"Dallas, TX",246 Fixture Sale Ave,2024-11-15,856900.0,4,5.0,3176,2,0.0541,428450.0,7.9,7.9,synthetic_fixture,0.75,Synthetic sale comp for v5 UI and validation workflows.
SC-0048,"Jacksonville, FL",247 Fixture Sale Ave,2025-12-15,593700.0,2,1,3190,1,0.0838,593700.0,3.51,4.2,synthetic_fixture,0.6,Synthetic sale comp for v5 UI and validation workflows.
SC-0049,"San Antonio, TX",248 Fixture Sale Ave,2026-01-15,513900.0,2,1,2705,1,0.0571,513900.0,8.95,7.4,synthetic_fixture,0.91,Synthetic sale comp for v5 UI and validation workflows.
SC-0050,"Raleigh, NC",249 Fixture Sale Ave,2020-02-15,5058800.0,32,16,18224,8,0.0552,632350.0,5.02,6.0,synthetic_fixture,0.69,Synthetic sale comp for v5 UI and validation workflows.
SC-0051,"Cleveland, OH",250 Fixture Sale Ave,2021-03-15,323500.0,3,1.5,1156,1,0.0452,323500.0,5.72,5.1,synthetic_fixture,0.76,Synthetic sale comp for v5 UI and validation workflows.
SC-0052,"Phoenix, AZ",251 Fixture Sale Ave,2022-04-15,188000.0,3,1,824,1,0.0674,188000.0,2.17,5.3,synthetic_fixture,0.72,Synthetic sale comp for v5 UI and validation workflows.
SC-0053,"Tampa, FL",252 Fixture Sale Ave,2023-05-15,319000.0,4,1.5,1131,1,0.0868,319000.0,2.82,4.5,synthetic_fixture,0.67,Synthetic sale comp for v5 UI and validation workflows.
SC-0054,"Kansas City, MO",253 Fixture Sale Ave,2024-06-15,486400.0,4,5.0,1822,2,0.0765,243200.0,9.98,7.3,synthetic_fixture,0.87,Synthetic sale comp for v5 UI and validation workflows.
SC-0055,"Columbus, OH",254 Fixture Sale Ave,2025-07-15,400400.0,1,1,2852,1,0.0736,400400.0,4.77,5.0,synthetic_fixture,0.76,Synthetic sale comp for v5 UI and validation workflows.
SC-0056,"Charlotte, NC",255 Fixture Sale Ave,2026-08-15,1104100.0,4,12,4196,4,0.0725,276025.0,7.55,5.5,synthetic_fixture,0.62,Synthetic sale comp for v5 UI and validation workflows.
SC-0057,"Atlanta, GA",256 Fixture Sale Ave,2020-09-15,3431700.0,8,12.0,16192,8,0.056,428962.5,0.85,5.8,synthetic_fixture,0.79,Synthetic sale comp for v5 UI and validation workflows.
SC-0058,"Indianapolis, IN",257 Fixture Sale Ave,2021-10-15,5348500.0,24,8,22504,8,0.0666,668562.5,4.51,7.4,synthetic_fixture,0.63,Synthetic sale comp for v5 UI and validation workflows.
SC-0059,"Dallas, TX",258 Fixture Sale Ave,2022-11-15,192200.0,1,2.5,756,1,0.0856,192200.0,8.87,5.6,synthetic_fixture,0.58,Synthetic sale comp for v5 UI and validation workflows.
SC-0060,"Jacksonville, FL",259 Fixture Sale Ave,2023-12-15,215100.0,6,2,1496,2,0.0895,107550.0,9.33,4.3,synthetic_fixture,0.75,Synthetic sale comp for v5 UI and validation workflows.
SC-0061,"San Antonio, TX",260 Fixture Sale Ave,2024-01-15,3871700.0,24,24,19464,8,0.0779,483962.5,4.9,5.9,synthetic_fixture,0.76,Synthetic sale comp for v5 UI and validation workflows.
SC-0062,"Raleigh, NC",261 Fixture Sale Ave,2025-02-15,536200.0,1,2,3107,1,0.0608,536200.0,3.04,8.6,synthetic_fixture,0.72,Synthetic sale comp for v5 UI and validation workflows.
SC-0063,"Cleveland, OH",262 Fixture Sale Ave,2026-03-15,425700.0,3,2.5,2300,1,0.051,425700.0,1.86,6.4,synthetic_fixture,0.68,Synthetic sale comp for v5 UI and validation workflows.
SC-0064,"Phoenix, AZ",263 Fixture Sale Ave,2020-04-15,1588500.0,16,8,9688,8,0.0595,198562.5,9.68,5.2,synthetic_fixture,0.76,Synthetic sale comp for v5 UI and validation workflows.
SC-0065,"Tampa, FL",264 Fixture Sale Ave,2021-05-15,410100.0,6,5.0,1776,2,0.0519,205050.0,4.92,6.1,synthetic_fixture,0.8,Synthetic sale comp for v5 UI and validation workflows.
SC-0066,"Kansas City, MO",265 Fixture Sale Ave,2022-06-15,1670300.0,6,2,6354,2,0.065,835150.0,8.8,9.2,synthetic_fixture,0.84,Synthetic sale comp for v5 UI and validation workflows.
SC-0067,"Columbus, OH",266 Fixture Sale Ave,2023-07-15,1610600.0,4,10.0,10156,4,0.0711,402650.0,6.82,7.7,synthetic_fixture,0.81,Synthetic sale comp for v5 UI and validation workflows.
SC-0068,"Charlotte, NC",267 Fixture Sale Ave,2024-08-15,5362500.0,24,24,22336,8,0.0598,670312.5,2.78,4.4,synthetic_fixture,0.84,Synthetic sale comp for v5 UI and validation workflows.
SC-0069,"Atlanta, GA",268 Fixture Sale Ave,2025-09-15,521200.0,4,2.5,2319,1,0.0751,521200.0,9.79,5.6,synthetic_fixture,0.58,Synthetic sale comp for v5 UI and validation workflows.
SC-0070,"Indianapolis, IN",269 Fixture Sale Ave,2026-10-15,1507200.0,16,12,6668,4,0.0737,376800.0,3.24,6.5,synthetic_fixture,0.57,Synthetic sale comp for v5 UI and validation workflows.
SC-0071,"Dallas, TX",270 Fixture Sale Ave,2020-11-15,391700.0,1,2.5,1841,1,0.0798,391700.0,3.63,7.7,synthetic_fixture,0.75,Synthetic sale comp for v5 UI and validation workflows.
SC-0072,"Jacksonville, FL",271 Fixture Sale Ave,2021-12-15,496000.0,4,3,1759,1,0.0457,496000.0,4.46,5.6,synthetic_fixture,0.73,Synthetic sale comp for v5 UI and validation workflows.
SC-0073,"San Antonio, TX",272 Fixture Sale Ave,2022-01-15,2205400.0,8,24,12176,8,0.0844,275675.0,3.8,8.3,synthetic_fixture,0.62,Synthetic sale comp for v5 UI and validation workflows.
SC-0074,"Raleigh, NC",273 Fixture Sale Ave,2023-02-15,1728000.0,4,6.0,12456,4,0.0764,432000.0,9.49,4.9,synthetic_fixture,0.91,Synthetic sale comp for v5 UI and validation workflows.
SC-0075,"Cleveland, OH",274 Fixture Sale Ave,2024-03-15,737800.0,6,5.0,5464,2,0.0869,368900.0,9.9,9.4,synthetic_fixture,0.61,Synthetic sale comp for v5 UI and validation workflows.
SC-0076,"Phoenix, AZ",275 Fixture Sale Ave,2025-04-15,86000.0,3,2.5,719,1,0.076,86000.0,8.64,5.9,synthetic_fixture,0.77,Synthetic sale comp for v5 UI and validation workflows.
SC-0077,"Tampa, FL",276 Fixture Sale Ave,2026-05-15,461300.0,6,3.0,3316,2,0.061,230650.0,3.94,4.1,synthetic_fixture,0.77,Synthetic sale comp for v5 UI and validation workflows.
SC-0078,"Kansas City, MO",277 Fixture Sale Ave,2020-06-15,559600.0,2,2.5,2066,1,0.0757,559600.0,0.56,9.2,synthetic_fixture,0.56,Synthetic sale comp for v5 UI and validation workflows.
SC-0079,"Columbus, OH",278 Fixture Sale Ave,2021-07-15,508700.0,4,5.0,1998,2,0.0609,254350.0,1.97,7.2,synthetic_fixture,0.67,Synthetic sale comp for v5 UI and validation workflows.
SC-0080,"Charlotte, NC",279 Fixture Sale Ave,2022-08-15,3153000.0,32,20.0,14344,8,0.0834,394125.0,0.37,6.7,synthetic_fixture,0.57,Synthetic sale comp for v5 UI and validation workflows.
SC-0081,"Atlanta, GA",280 Fixture Sale Ave,2023-09-15,160000.0,4,1,801,1,0.0841,160000.0,7.89,5.4,synthetic_fixture,0.72,Synthetic sale comp for v5 UI and validation workflows.
SC-0082,"Indianapolis, IN",281 Fixture Sale Ave,2024-10-15,440200.0,1,2.5,1837,1,0.0916,440200.0,8.93,5.6,synthetic_fixture,0.7,Synthetic sale comp for v5 UI and validation workflows.
SC-0083,"Dallas, TX",282 Fixture Sale Ave,2025-11-15,942600.0,16,6.0,4148,4,0.0687,235650.0,7.06,6.4,synthetic_fixture,0.88,Synthetic sale comp for v5 UI and validation workflows.
SC-0084,"Jacksonville, FL",283 Fixture Sale Ave,2026-12-15,1250600.0,6,2,5314,2,0.0797,625300.0,2.62,6.1,synthetic_fixture,0.74,Synthetic sale comp for v5 UI and validation workflows.
SC-0085,"San Antonio, TX",284 Fixture Sale Ave,2020-01-15,978400.0,12,12,4796,4,0.079,244600.0,3.15,5.5,synthetic_fixture,0.74,Synthetic sale comp for v5 UI and validation workflows.
SC-0086,"Raleigh, NC",285 Fixture Sale Ave,2021-02-15,734800.0,6,2,3314,2,0.0791,367400.0,6.08,6.8,synthetic_fixture,0.62,Synthetic sale comp for v5 UI and validation workflows.
SC-0087,"Cleveland, OH",286 Fixture Sale Ave,2022-03-15,407000.0,2,1,1757,1,0.0748,407000.0,1.45,7.9,synthetic_fixture,0.77,Synthetic sale comp for v5 UI and validation workflows.
SC-0088,"Phoenix, AZ",287 Fixture Sale Ave,2023-04-15,6090400.0,16,8,22768,8,0.0598,761300.0,7.88,4.1,synthetic_fixture,0.82,Synthetic sale comp for v5 UI and validation workflows.
SC-0089,"Tampa, FL",288 Fixture Sale Ave,2024-05-15,409300.0,2,1,1566,1,0.0586,409300.0,2.8,6.8,synthetic_fixture,0.9,Synthetic sale comp for v5 UI and validation workflows.
SC-0090,"Kansas City, MO",289 Fixture Sale Ave,2025-06-15,929300.0,8,2,4838,2,0.0621,464650.0,8.29,5.5,synthetic_fixture,0.83,Synthetic sale comp for v5 UI and validation workflows.
SC-0091,"Columbus, OH",290 Fixture Sale Ave,2026-07-15,1636200.0,12,8,9020,4,0.0646,409050.0,5.93,5.3,synthetic_fixture,0.58,Synthetic sale comp for v5 UI and validation workflows.
SC-0092,"Charlotte, NC",291 Fixture Sale Ave,2020-08-15,543200.0,3,2,2346,1,0.0657,543200.0,4.07,9.1,synthetic_fixture,0.86,Synthetic sale comp for v5 UI and validation workflows.
SC-0093,"Atlanta, GA",292 Fixture Sale Ave,2021-09-15,2555400.0,16,10.0,9344,4,0.0631,638850.0,8.63,6.6,synthetic_fixture,0.7,Synthetic sale comp for v5 UI and validation workflows.
SC-0094,"Indianapolis, IN",293 Fixture Sale Ave,2022-10-15,2340200.0,24,12.0,17160,8,0.0725,292525.0,3.18,8.8,synthetic_fixture,0.9,Synthetic sale comp for v5 UI and validation workflows.
SC-0095,"Dallas, TX",294 Fixture Sale Ave,2023-11-15,479400.0,3,3,2711,1,0.0743,479400.0,5.24,6.9,synthetic_fixture,0.78,Synthetic sale comp for v5 UI and validation workflows.
SC-0096,"Jacksonville, FL",295 Fixture Sale Ave,2024-12-15,6134700.0,32,16,21576,8,0.0591,766837.5,2.83,4.9,synthetic_fixture,0.71,Synthetic sale comp for v5 UI and validation workflows.
SC-0097,"San Antonio, TX",296 Fixture Sale Ave,2025-01-15,4060100.0,32,24,17448,8,0.053,507512.5,8.29,6.6,synthetic_fixture,0.81,Synthetic sale comp for v5 UI and validation workflows.
SC-0098,"Raleigh, NC",297 Fixture Sale Ave,2026-02-15,4905800.0,24,8,19744,8,0.0479,613225.0,8.02,4.8,synthetic_fixture,0.71,Synthetic sale comp for v5 UI and validation workflows.
SC-0099,"Cleveland, OH",298 Fixture Sale Ave,2020-03-15,1309800.0,8,6.0,6112,4,0.0826,327450.0,0.97,5.4,synthetic_fixture,0.62,Synthetic sale comp for v5 UI and validation workflows.
SC-0100,"Phoenix, AZ",299 Fixture Sale Ave,2021-04-15,3367200.0,16,12.0,11816,8,0.0836,420900.0,8.98,4.6,synthetic_fixture,0.59,Synthetic sale comp for v5 UI and validation workflows.
SC-0101,"Tampa, FL",300 Fixture Sale Ave,2022-05-15,3248800.0,32,16,14208,8,0.0568,406100.0,5.36,5.9,synthetic_fixture,0.74,Synthetic sale comp for v5 UI and validation workflows.
SC-0102,"Kansas City, MO",301 Fixture Sale Ave,2023-06-15,581700.0,6,3.0,2492,2,0.0718,290850.0,1.13,4.4,synthetic_fixture,0.62,Synthetic sale comp for v5 UI and validation workflows.
SC-0103,"Columbus, OH",302 Fixture Sale Ave,2024-07-15,5643900.0,24,20.0,20584,8,0.0783,705487.5,5.28,5.7,synthetic_fixture,0.91,Synthetic sale comp for v5 UI and validation workflows.
SC-0104,"Charlotte, NC",303 Fixture Sale Ave,2025-08-15,3499800.0,32,8,23496,8,0.0759,437475.0,3.35,9.3,synthetic_fixture,0.91,Synthetic sale comp for v5 UI and validation workflows.
SC-0105,"Atlanta, GA",304 Fixture Sale Ave,2026-09-15,5539900.0,16,12.0,19752,8,0.083,692487.5,5.47,8.4,synthetic_fixture,0.69,Synthetic sale comp for v5 UI and validation workflows.
SC-0106,"Indianapolis, IN",305 Fixture Sale Ave,2020-10-15,4542200.0,8,20.0,19928,8,0.0757,567775.0,9.24,5.8,synthetic_fixture,0.81,Synthetic sale comp for v5 UI and validation workflows.
SC-0107,"Dallas, TX",306 Fixture Sale Ave,2021-11-15,260800.0,1,2.5,1202,1,0.0511,260800.0,8.62,9.1,synthetic_fixture,0.67,Synthetic sale comp for v5 UI and validation workflows.
SC-0108,"Jacksonville, FL",307 Fixture Sale Ave,2022-12-15,2274900.0,8,12,9696,4,0.0542,568725.0,8.04,7.8,synthetic_fixture,0.75,Synthetic sale comp for v5 UI and validation workflows.
SC-0109,"San Antonio, TX",308 Fixture Sale Ave,2023-01-15,504000.0,3,1,2467,1,0.0678,504000.0,5.94,5.1,synthetic_fixture,0.73,Synthetic sale comp for v5 UI and validation workflows.
SC-0110,"Raleigh, NC",309 Fixture Sale Ave,2024-02-15,937700.0,8,12.0,7192,8,0.0758,117212.5,9.31,8.7,synthetic_fixture,0.86,Synthetic sale comp for v5 UI and validation workflows.
SC-0111,"Cleveland, OH",310 Fixture Sale Ave,2025-03-15,1730000.0,24,12.0,7504,8,0.0843,216250.0,1.96,9.3,synthetic_fixture,0.72,Synthetic sale comp for v5 UI and validation workflows.
SC-0112,"Phoenix, AZ",311 Fixture Sale Ave,2026-04-15,166900.0,3,1,1226,1,0.0719,166900.0,6.38,8.9,synthetic_fixture,0.83,Synthetic sale comp for v5 UI and validation workflows.
SC-0113,"Tampa, FL",312 Fixture Sale Ave,2020-05-15,1432600.0,12,10.0,5608,4,0.0774,358150.0,1.59,4.5,synthetic_fixture,0.68,Synthetic sale comp for v5 UI and validation workflows.
SC-0114,"Kansas City, MO",313 Fixture Sale Ave,2021-06-15,1414000.0,8,12,6356,4,0.055,353500.0,6.81,4.2,synthetic_fixture,0.61,Synthetic sale comp for v5 UI and validation workflows.
SC-0115,"Columbus, OH",314 Fixture Sale Ave,2022-07-15,223000.0,3,1.5,1238,1,0.0767,223000.0,1.0,5.5,synthetic_fixture,0.64,Synthetic sale comp for v5 UI and validation workflows.
SC-0116,"Charlotte, NC",315 Fixture Sale Ave,2023-08-15,1336100.0,12,4,7940,4,0.0766,334025.0,8.95,4.3,synthetic_fixture,0.89,Synthetic sale comp for v5 UI and validation workflows.
SC-0117,"Atlanta, GA",316 Fixture Sale Ave,2024-09-15,2259200.0,24,8,15344,8,0.0679,282400.0,3.75,8.2,synthetic_fixture,0.83,Synthetic sale comp for v5 UI and validation workflows.
SC-0118,"Indianapolis, IN",317 Fixture Sale Ave,2025-10-15,470400.0,1,3,1710,1,0.0751,470400.0,8.83,7.3,synthetic_fixture,0.73,Synthetic sale comp for v5 UI and validation workflows.
SC-0119,"Dallas, TX",318 Fixture Sale Ave,2026-11-15,287200.0,3,1.5,1785,1,0.049,287200.0,9.08,4.1,synthetic_fixture,0.73,Synthetic sale comp for v5 UI and validation workflows.
SC-0120,"Jacksonville, FL",319 Fixture Sale Ave,2020-12-15,1751500.0,24,12.0,11296,8,0.0891,218937.5,1.38,8.8,synthetic_fixture,0.73,Synthetic sale comp for v5 UI and validation workflows.
SC-0121,"San Antonio, TX",320 Fixture Sale Ave,2021-01-15,511600.0,3,2,2705,1,0.0657,511600.0,0.74,4.7,synthetic_fixture,0.69,Synthetic sale comp for v5 UI and validation workflows.
SC-0122,"Raleigh, NC",321 Fixture Sale Ave,2022-02-15,352900.0,1,2,2082,1,0.067,352900.0,1.06,9.0,synthetic_fixture,0.7,Synthetic sale comp for v5 UI and validation workflows.
SC-0123,"Cleveland, OH",322 Fixture Sale Ave,2023-03-15,557000.0,2,3,2090,1,0.0552,557000.0,7.74,8.1,synthetic_fixture,0.6,Synthetic sale comp for v5 UI and validation workflows.
SC-0124,"Phoenix, AZ",323 Fixture Sale Ave,2024-04-15,555400.0,2,3.0,2868,2,0.0902,277700.0,3.52,9.1,synthetic_fixture,0.59,Synthetic sale comp for v5 UI and validation workflows.
SC-0125,"Tampa, FL",324 Fixture Sale Ave,2025-05-15,719200.0,2,5.0,3222,2,0.0524,359600.0,6.23,8.1,synthetic_fixture,0.92,Synthetic sale comp for v5 UI and validation workflows.
SC-0126,"Kansas City, MO",325 Fixture Sale Ave,2026-06-15,806000.0,6,5.0,5530,2,0.0672,403000.0,2.23,8.9,synthetic_fixture,0.76,Synthetic sale comp for v5 UI and validation workflows.
SC-0127,"Columbus, OH",326 Fixture Sale Ave,2020-07-15,830400.0,1,1.5,3169,1,0.0661,830400.0,1.21,7.3,synthetic_fixture,0.61,Synthetic sale comp for v5 UI and validation workflows.
SC-0128,"Charlotte, NC",327 Fixture Sale Ave,2021-08-15,1838500.0,12,8,8476,4,0.0667,459625.0,9.21,9.2,synthetic_fixture,0.85,Synthetic sale comp for v5 UI and validation workflows.
SC-0129,"Atlanta, GA",328 Fixture Sale Ave,2022-09-15,199000.0,2,1.5,1066,1,0.0466,199000.0,9.27,6.2,synthetic_fixture,0.8,Synthetic sale comp for v5 UI and validation workflows.
SC-0130,"Indianapolis, IN",329 Fixture Sale Ave,2023-10-15,819400.0,2,4,6298,2,0.0842,409700.0,1.98,5.4,synthetic_fixture,0.63,Synthetic sale comp for v5 UI and validation workflows.
SC-0131,"Dallas, TX",330 Fixture Sale Ave,2024-11-15,595300.0,4,6,3776,2,0.083,297650.0,4.24,4.5,synthetic_fixture,0.61,Synthetic sale comp for v5 UI and validation workflows.
