deal_id,as_of_date,market,property_type,units,purchase_price,rehab_budget,monthly_rent,vacancy_rate,taxes_annual,insurance_annual,repairs_annual,capex_annual,management_rate,loan_amount,interest_rate,actual_year1_noi,actual_year1_occupancy,actual_3yr_appreciation,exit_status,notes
HD-0048,2023-Q4,"Jacksonville, FL",triplex,3,318156,40000,1982.86,0.0998,5450.55,1660.84,3040.99,3851.35,0.08,242456.65,0.0542,5514.55,0.8835,0.1268,refinanced,Synthetic fixture for model validation and backtesting examples.
HD-0049,2024-Q1,"San Antonio, TX",fourplex,4,532720,15000,3655.22,0.0736,9554.87,5063.73,8011.84,7600.37,0.08,384538.93,0.0798,6960.02,0.9591,0.0834,sold_above_plan,Synthetic fixture for model validation and backtesting examples.
HD-0050,2018-Q2,"Raleigh, NC",small_multifamily,8,579145,5000,6894.39,0.0856,11417.92,5494.78,12118.52,13199.33,0.08,362135.42,0.0623,25124.2,0.8808,0.082,refinanced,Synthetic fixture for model validation and backtesting examples.
HD-0051,2019-Q3,"Cleveland, OH",single_family,1,226797,25000,970.96,0.0372,2716.12,1787.83,2104.72,1839.4,0.08,139689.79,0.0742,2089.24,0.9604,0.0929,sold_above_plan,Synthetic fixture for model validation and backtesting examples.
HD-0052,2020-Q4,"Phoenix, AZ",duplex,2,683711,15000,1939.48,0.089,10523.98,2798.48,2774.29,2866.59,0.08,491983.87,0.0773,509.6,0.924,0.1281,sold_below_plan,Synthetic fixture for model validation and backtesting examples.
HD-0053,2021-Q1,"Tampa, FL",triplex,3,674904,90000,2237.13,0.0425,8288.62,2870.7,5944.7,6851.57,0.08,565824.93,0.049,-348.2,0.9325,0.0586,held,Synthetic fixture for model validation and backtesting examples.
HD-0054,2022-Q2,"Kansas City, MO",fourplex,4,669353,40000,3686.47,0.0996,7795.46,4732.28,8794.97,6403.94,0.08,504064.47,0.053,10437.49,0.9172,0.1027,sold_above_plan,Synthetic fixture for model validation and backtesting examples.
HD-0055,2023-Q3,"Columbus, OH",small_multifamily,8,755845,40000,5752.51,0.0541,15070.24,3202.89,17807.08,15490.68,0.08,465898.29,0.0798,7864.07,0.9727,0.1316,refinanced,Synthetic fixture for model validation and backtesting examples.
HD-0056,2024-Q4,"Charlotte, NC",single_family,1,680158,10000,1135.85,0.0512,11421.15,5679.93,1091.11,1011.7,0.08,502238.52,0.0772,-6884.98,0.9744,0.1563,sold_below_plan,Synthetic fixture for model validation and backtesting examples.
HD-0057,2018-Q1,"Atlanta, GA",duplex,2,516578,65000,1860.85,0.1199,7937.39,2306.97,3308.03,2904.4,0.08,393694.0,0.0669,1597.69,0.9186,0.0165,sold_above_plan,Synthetic fixture for model validation and backtesting examples.
HD-0058,2019-Q2,"Indianapolis, IN",triplex,3,505405,40000,2934.94,0.0699,6639.15,3322.71,6536.41,4529.91,0.08,423962.52,0.0751,9607.17,0.9002,-0.0344,held,Synthetic fixture for model validation and backtesting examples.
HD-0059,2020-Q3,"Dallas, TX",fourplex,4,908849,15000,4389.95,0.0724,14393.77,5880.28,7645.69,6223.86,0.08,647248.34,0.0541,10693.82,0.9375,0.2108,sold_below_plan,Synthetic fixture for model validation and backtesting examples.
HD-0060,2021-Q4,"Jacksonville, FL",small_multifamily,8,846791,65000,5585.04,0.0923,13495.38,8215.49,14220.15,18559.22,0.08,603813.46,0.0669,1539.97,0.9475,-0.0096,sold_below_plan,Synthetic fixture for model validation and backtesting examples.
HD-0061,2022-Q1,"San Antonio, TX",single_family,1,279769,25000,1127.01,0.0948,2883.47,1281.73,1319.25,946.32,0.08,190360.6,0.0509,4585.7,0.9077,0.0492,sold_above_plan,Synthetic fixture for model validation and backtesting examples.
HD-0062,2023-Q2,"Raleigh, NC",duplex,2,813418,65000,1986.53,0.0417,16529.4,6123.51,2474.32,4721.05,0.08,512044.85,0.0642,-8049.33,0.9902,-0.0034,held,Synthetic fixture for model validation and backtesting examples.
HD-0063,2024-Q3,"Cleveland, OH",triplex,3,742853,15000,2416.53,0.0725,10022.83,5437.1,5383.54,4736.68,0.08,460412.82,0.0769,-745.34,0.896,0.0354,refinanced,Synthetic fixture for model validation and backtesting examples.
HD-0064,2018-Q4,"Phoenix, AZ",fourplex,4,689889,40000,3020.29,0.0944,6405.77,6136.73,5816.51,3651.83,0.08,546661.68,0.0747,9581.09,0.9322,0.1932,refinanced,Synthetic fixture for model validation and backtesting examples.
HD-0065,2019-Q1,"Tampa, FL",small_multifamily,8,730096,90000,6708.72,0.0649,12613.16,5501.85,14790.96,16427.88,0.08,575388.99,0.0767,20843.51,0.9198,0.191,held,Synthetic fixture for model validation and backtesting examples.
HD-0066,2020-Q2,"Kansas City, MO",single_family,1,647236,5000,1389.32,0.0427,8308.2,5410.0,1145.9,1111.46,0.08,439648.67,0.0811,-1306.76,0.9379,0.194,sold_above_plan,Synthetic fixture for model validation and backtesting examples.
HD-0067,2021-Q3,"Columbus, OH",duplex,2,725254,90000,2244.25,0.1034,10942.86,2893.36,3911.62,2521.97,0.08,575206.09,0.0713,1872.99,0.8859,0.1737,watchlist,Synthetic fixture for model validation and backtesting examples.
HD-0068,2022-Q4,"Charlotte, NC",triplex,3,668741,5000,2141.57,0.0663,12530.3,3480.16,4300.31,5765.04,0.08,428121.27,0.0713,-3959.33,0.9199,0.1059,watchlist,Synthetic fixture for model validation and backtesting examples.
HD-0069,2023-Q1,"Atlanta, GA",fourplex,4,929717,10000,3910.23,0.0745,16840.9,7177.47,4253.39,3890.22,0.08,524887.19,0.0819,6714.2,0.8964,-0.0096,watchlist,Synthetic fixture for model validation and backtesting examples.
HD-0070,2024-Q2,"Indianapolis, IN",small_multifamily,8,905679,15000,7260.59,0.1154,13085.84,7539.55,8930.66,12510.52,0.08,527341.89,0.0651,27886.25,0.8998,0.2055,held,Synthetic fixture for model validation and backtesting examples.
HD-0071,2018-Q3,"Dallas, TX",single_family,1,412823,25000,942.35,0.0658,8979.75,2430.57,2162.37,1931.72,0.08,246900.0,0.0581,-6760.58,0.9015,0.2047,refinanced,Synthetic fixture for model validation and backtesting examples.
HD-0072,2019-Q4,"Jacksonville, FL",duplex,2,442409,65000,2199.98,0.0393,5899.8,4391.94,4003.54,2456.66,0.08,375918.07,0.0673,6786.0,0.947,0.1639,sold_above_plan,Synthetic fixture for model validation and backtesting examples.
HD-0073,2020-Q1,"San Antonio, TX",triplex,3,409721,90000,1957.64,0.108,4458.15,1780.22,3752.75,3537.59,0.08,350825.76,0.0499,4745.35,0.8991,0.157,sold_above_plan,Synthetic fixture for model validation and backtesting examples.
HD-0074,2021-Q2,"Raleigh, NC",fourplex,4,306547,10000,2429.09,0.0708,3211.83,1199.56,6110.34,5917.05,0.08,217323.19,0.0639,7629.69,0.9133,0.1045,watchlist,Synthetic fixture for model validation and backtesting examples.
HD-0075,2022-Q3,"Cleveland, OH",small_multifamily,8,462663,5000,7250.75,0.0712,4813.32,3761.73,12167.9,18710.61,0.08,291861.8,0.0539,30199.39,0.9327,0.1073,watchlist,Synthetic fixture for model validation and backtesting examples.
HD-0076,2023-Q4,"Phoenix, AZ",single_family,1,525981,25000,1324.22,0.0736,8873.59,2180.01,1882.49,2264.47,0.08,385527.37,0.0744,-1788.91,0.9574,-0.0155,refinanced,Synthetic fixture for model validation and backtesting examples.
HD-0077,2024-Q1,"Tampa, FL",duplex,2,653914,15000,2016.05,0.097,8542.16,3617.06,2513.69,4851.5,0.08,473570.27,0.0647,489.39,0.8707,-0.0544,refinanced,Synthetic fixture for model validation and backtesting examples.
HD-0078,2018-Q2,"Kansas City, MO",triplex,3,645748,90000,1997.68,0.1163,10526.91,5072.41,4425.4,6893.32,0.08,563921.32,0.063,-8540.66,0.8917,-0.0646,sold_below_plan,Synthetic fixture for model validation and backtesting examples.
HD-0079,2019-Q3,"Columbus, OH",fourplex,4,658727,5000,2946.71,0.0908,7848.85,2768.91,8334.09,5952.39,0.08,481467.1,0.0679,5190.46,0.9183,0.1735,watchlist,Synthetic fixture for model validation and backtesting examples.
HD-0080,2020-Q4,"Charlotte, NC",small_multifamily,8,1013783,5000,7056.58,0.0939,9505.63,5348.98,15738.99,18995.68,0.08,642582.49,0.055,18303.08,0.8774,0.1172,held,Synthetic fixture for model validation and backtesting examples.
HD-0081,2021-Q1,"Atlanta, GA",single_family,1,217146,5000,807.23,0.0707,2916.63,1282.32,1910.23,2142.94,0.08,151180.69,0.0518,24.86,0.8933,-0.0328,watchlist,Synthetic fixture for model validation and backtesting examples.
HD-0082,2022-Q2,"Indianapolis, IN",duplex,2,305544,15000,1596.42,0.0866,4395.06,1497.53,3234.57,2904.55,0.08,184474.56,0.0714,4202.83,0.877,0.0781,sold_below_plan,Synthetic fixture for model validation and backtesting examples.
HD-0083,2023-Q3,"Dallas, TX",triplex,3,669463,40000,2157.22,0.1154,12703.42,5668.37,3915.68,3275.92,0.08,471366.24,0.0632,-3895.83,0.8846,0.0798,sold_above_plan,Synthetic fixture for model validation and backtesting examples.
HD-0084,2024-Q4,"Jacksonville, FL",fourplex,4,661371,5000,3726.26,0.0721,9905.22,2649.52,5353.14,6347.42,0.08,428488.06,0.0701,12862.05,0.9016,0.0415,sold_below_plan,Synthetic fixture for model validation and backtesting examples.
HD-0085,2018-Q1,"San Antonio, TX",small_multifamily,8,1078151,25000,8095.46,0.0425,21539.62,5478.69,13795.36,13906.72,0.08,707148.85,0.0592,29072.44,0.9236,0.0199,sold_above_plan,Synthetic fixture for model validation and backtesting examples.
HD-0086,2019-Q2,"Raleigh, NC",single_family,1,304565,40000,1130.63,0.0647,5621.03,2687.23,2041.05,1278.03,0.08,201116.45,0.0555,48.96,0.9095,0.1481,held,Synthetic fixture for model validation and backtesting examples.
HD-0087,2020-Q3,"Cleveland, OH",duplex,2,738119,25000,2363.31,0.0732,15510.84,5291.72,3578.84,3798.47,0.08,571405.79,0.0697,-3496.32,0.9373,-0.0595,refinanced,Synthetic fixture for model validation and backtesting examples.
HD-0088,2021-Q4,"Phoenix, AZ",triplex,3,543016,40000,2443.36,0.0614,8077.3,2101.36,6193.13,3068.31,0.08,436549.27,0.0772,6121.73,0.945,0.0721,refinanced,Synthetic fixture for model validation and backtesting examples.
HD-0089,2022-Q1,"Tampa, FL",fourplex,4,333015,25000,3285.5,0.051,5616.32,2250.81,8963.25,6483.35,0.08,263686.06,0.0766,13037.38,0.9121,-0.0547,sold_above_plan,Synthetic fixture for model validation and backtesting examples.
HD-0090,2023-Q2,"Kansas City, MO",small_multifamily,8,889022,25000,6741.75,0.0659,18610.06,5350.32,15874.01,15889.89,0.08,513720.64,0.0698,12978.33,0.9484,0.0189,watchlist,Synthetic fixture for model validation and backtesting examples.
HD-0091,2024-Q3,"Columbus, OH",single_family,1,482949,15000,1248.24,0.112,9829.29,2736.8,1715.84,1126.29,0.08,313936.32,0.0809,-3397.66,0.9047,0.0376,watchlist,Synthetic fixture for model validation and backtesting examples.
HD-0092,2018-Q4,"Charlotte, NC",duplex,2,308834,15000,1795.64,0.0629,3292.58,2491.8,4451.9,4990.93,0.08,246069.49,0.0521,3555.29,0.9261,0.0725,held,Synthetic fixture for model validation and backtesting examples.
HD-0093,2019-Q1,"Atlanta, GA",triplex,3,444019,10000,2766.91,0.0513,9768.28,2001.26,3942.33,6482.98,0.08,302725.63,0.0668,7367.69,0.9788,0.078,sold_below_plan,Synthetic fixture for model validation and backtesting examples.
HD-0094,2020-Q2,"Indianapolis, IN",fourplex,4,938052,10000,3120.81,0.0504,16891.5,7092.44,8654.87,8215.57,0.08,530955.82,0.061,-8780.35,0.9324,0.2109,watchlist,Synthetic fixture for model validation and backtesting examples.
HD-0095,2021-Q3,"Dallas, TX",small_multifamily,8,900735,10000,5796.31,0.1037,13598.58,8041.98,11319.82,19323.27,0.08,707113.92,0.0642,4673.27,0.8898,0.0346,watchlist,Synthetic fixture for model validation and backtesting examples.
HD-0096,2022-Q4,"Jacksonville, FL",single_family,1,354930,90000,990.25,0.1092,3435.13,2351.0,1419.7,2394.87,0.08,317511.94,0.066,119.22,0.8726,-0.0548,sold_above_plan,Synthetic fixture for model validation and backtesting examples.
HD-0097,2023-Q1,"San Antonio, TX",duplex,2,758289,10000,1883.31,0.1124,14875.46,7014.24,4405.32,3127.67,0.08,492614.93,0.0613,-10518.47,0.8499,-0.0555,sold_above_plan,Synthetic fixture for model validation and backtesting examples.
HD-0098,2024-Q2,"Raleigh, NC",triplex,3,358896,90000,2261.33,0.0474,3408.77,3396.26,4684.31,6689.33,0.08,325240.17,0.0645,5835.74,0.9331,0.1918,held,Synthetic fixture for model validation and backtesting examples.
HD-0099,2018-Q3,"Cleveland, OH",fourplex,4,446782,40000,3479.88,0.071,8529.18,2253.86,4282.35,5126.01,0.08,339267.05,0.0696,13059.46,0.9367,0.171,refinanced,Synthetic fixture for model validation and backtesting examples.
HD-0100,2019-Q4,"Phoenix, AZ",small_multifamily,8,447233,65000,5169.54,0.0472,6520.7,3352.58,9894.32,12532.07,0.08,360000.12,0.0518,25850.9,0.9563,-0.0597,watchlist,Synthetic fixture for model validation and backtesting examples.
HD-0101,2020-Q1,"Tampa, FL",single_family,1,717280,40000,1276.25,0.0387,10063.05,4250.94,1946.24,1471.35,0.08,428271.15,0.057,-4423.86,0.9801,-0.0489,watchlist,Synthetic fixture for model validation and backtesting examples.
HD-0102,2021-Q2,"Kansas City, MO",duplex,2,568671,10000,1783.24,0.1041,6412.42,4870.34,3100.94,4025.25,0.08,402349.51,0.0758,-650.07,0.8589,0.1529,refinanced,Synthetic fixture for model validation and backtesting examples.
HD-0103,2022-Q3,"Columbus, OH",triplex,3,466383,5000,3050.23,0.0618,6077.43,2839.55,6124.71,4972.32,0.08,263231.0,0.0703,10687.82,0.9675,0.1786,held,Synthetic fixture for model validation and backtesting examples.
HD-0104,2023-Q4,"Charlotte, NC",fourplex,4,638048,15000,3007.35,0.1106,11907.89,5943.51,5765.21,9831.83,0.08,433706.64,0.0654,-4518.03,0.9076,0.0758,held,Synthetic fixture for model validation and backtesting examples.
HD-0105,2024-Q1,"Atlanta, GA",small_multifamily,8,512760,25000,7110.8,0.0814,6756.0,2061.52,14602.3,11123.15,0.08,370303.14,0.0631,40136.71,0.9367,0.0255,held,Synthetic fixture for model validation and backtesting examples.
HD-0106,2018-Q2,"Indianapolis, IN",single_family,1,554685,40000,1256.36,0.1183,11827.41,2211.95,1792.52,1481.3,0.08,436648.69,0.0714,-5912.49,0.8959,-0.0372,watchlist,Synthetic fixture for model validation and backtesting examples.
HD-0107,2019-Q3,"Dallas, TX",duplex,2,679457,5000,1635.18,0.0898,9313.97,6571.39,1890.68,2291.0,0.08,447280.46,0.0612,-3562.38,0.9126,-0.0569,sold_above_plan,Synthetic fixture for model validation and backtesting examples.
HD-0108,2020-Q4,"Jacksonville, FL",triplex,3,672368,15000,2446.52,0.0446,12481.69,4534.31,4325.35,5396.03,0.08,419437.89,0.0576,-914.39,0.9709,0.2189,sold_below_plan,Synthetic fixture for model validation and backtesting examples.
HD-0109,2021-Q1,"San Antonio, TX",fourplex,4,805060,10000,3891.73,0.0734,16650.92,5146.93,4091.63,7964.35,0.08,606787.62,0.0595,5630.05,0.9098,-0.0605,watchlist,Synthetic fixture for model validation and backtesting examples.
HD-0110,2022-Q2,"Raleigh, NC",small_multifamily,8,744527,90000,6773.32,0.0945,8385.74,4355.26,9711.51,19809.7,0.08,611019.89,0.0568,25394.01,0.895,0.0283,watchlist,Synthetic fixture for model validation and backtesting examples.
HD-0111,2023-Q3,"Cleveland, OH",single_family,1,763443,10000,1252.35,0.0613,16791.73,6239.35,1635.97,2130.66,0.08,571859.05,0.0514,-16169.36,0.936,0.1127,refinanced,Synthetic fixture for model validation and backtesting examples.
HD-0112,2024-Q4,"Phoenix, AZ",duplex,2,762491,15000,2165.11,0.0819,12688.78,6473.99,2161.29,3409.16,0.08,582876.2,0.0764,-2806.22,0.9039,0.0112,sold_above_plan,Synthetic fixture for model validation and backtesting examples.
HD-0113,2018-Q1,"Tampa, FL",triplex,3,491422,15000,2680.95,0.0591,4926.59,2347.01,6716.68,4017.36,0.08,351332.87,0.0693,8400.46,0.9762,0.1123,watchlist,Synthetic fixture for model validation and backtesting examples.
