comp_id,market,address,bedrooms,bathrooms,square_feet,unit_count,monthly_rent,concession_pct,days_on_market,distance_miles,condition_score,source,confidence,notes
RC-0051,"Cleveland, OH",150 Fixture Rent St,2,2.5,2702,1,4459.84,0.0192,48,3.27,5.1,synthetic_fixture,0.7,Synthetic rent comp for v5 UI and validation workflows.
RC-0052,"Phoenix, AZ",151 Fixture Rent St,2,2,4908,2,8356.77,0.0291,29,3.72,5.4,synthetic_fixture,0.86,Synthetic rent comp for v5 UI and validation workflows.
RC-0053,"Tampa, FL",152 Fixture Rent St,4,1.5,10428,4,20302.56,0.0584,30,5.53,8.9,synthetic_fixture,0.83,Synthetic rent comp for v5 UI and validation workflows.
RC-0054,"Kansas City, MO",153 Fixture Rent St,3,2,2209,1,4867.97,0.063,51,1.49,6.5,synthetic_fixture,0.82,Synthetic rent comp for v5 UI and validation workflows.
RC-0055,"Columbus, OH",154 Fixture Rent St,1,1,1865,1,4087.55,0.0644,56,6.26,7.7,synthetic_fixture,0.61,Synthetic rent comp for v5 UI and validation workflows.
RC-0056,"Charlotte, NC",155 Fixture Rent St,2,1,2184,1,2779.54,0.0481,71,5.92,5.5,synthetic_fixture,0.89,Synthetic rent comp for v5 UI and validation workflows.
RC-0057,"Atlanta, GA",156 Fixture Rent St,3,2.5,2612,1,2827.9,0.0251,71,7.82,6.3,synthetic_fixture,0.74,Synthetic rent comp for v5 UI and validation workflows.
RC-0058,"Indianapolis, IN",157 Fixture Rent St,4,1,1478,2,1935.8,0.0023,72,1.84,7.7,synthetic_fixture,0.89,Synthetic rent comp for v5 UI and validation workflows.
RC-0059,"Dallas, TX",158 Fixture Rent St,1,2,2294,1,4415.32,0.0461,26,6.0,5.2,synthetic_fixture,0.9,Synthetic rent comp for v5 UI and validation workflows.
RC-0060,"Jacksonville, FL",159 Fixture Rent St,8,2.5,4460,4,8222.39,0.0748,52,2.71,5.5,synthetic_fixture,0.57,Synthetic rent comp for v5 UI and validation workflows.
RC-0061,"San Antonio, TX",160 Fixture Rent St,2,3,854,1,1283.17,0.0075,72,3.67,5.1,synthetic_fixture,0.61,Synthetic rent comp for v5 UI and validation workflows.
RC-0062,"Raleigh, NC",161 Fixture Rent St,2,1,2316,2,3873.08,0.0429,60,5.6,8.1,synthetic_fixture,0.9,Synthetic rent comp for v5 UI and validation workflows.
RC-0063,"Cleveland, OH",162 Fixture Rent St,4,3,2617,1,3798.83,0.049,69,5.28,8.4,synthetic_fixture,0.73,Synthetic rent comp for v5 UI and validation workflows.
RC-0064,"Phoenix, AZ",163 Fixture Rent St,1,2,2488,1,4476.26,0.0129,20,0.94,5.1,synthetic_fixture,0.65,Synthetic rent comp for v5 UI and validation workflows.
RC-0065,"Tampa, FL",164 Fixture Rent St,6,3,4050,2,9053.43,0.059,73,5.0,7.6,synthetic_fixture,0.92,Synthetic rent comp for v5 UI and validation workflows.
RC-0066,"Kansas City, MO",165 Fixture Rent St,2,2,2422,1,2766.8,0.0325,34,0.85,6.4,synthetic_fixture,0.86,Synthetic rent comp for v5 UI and validation workflows.
RC-0067,"Columbus, OH",166 Fixture Rent St,3,2,2538,1,5652.85,0.0359,25,5.98,8.0,synthetic_fixture,0.59,Synthetic rent comp for v5 UI and validation workflows.
RC-0068,"Charlotte, NC",167 Fixture Rent St,8,2.5,7596,4,13525.16,0.0731,67,0.66,7.2,synthetic_fixture,0.88,Synthetic rent comp for v5 UI and validation workflows.
RC-0069,"Atlanta, GA",168 Fixture Rent St,8,1,3476,4,5284.76,0.0091,29,5.18,4.6,synthetic_fixture,0.58,Synthetic rent comp for v5 UI and validation workflows.
RC-0070,"Indianapolis, IN",169 Fixture Rent St,4,1,4150,2,5296.36,0.0311,27,3.43,5.1,synthetic_fixture,0.86,Synthetic rent comp for v5 UI and validation workflows.
RC-0071,"Dallas, TX",170 Fixture Rent St,3,2,2575,1,4600.76,0.0463,8,2.55,7.3,synthetic_fixture,0.57,Synthetic rent comp for v5 UI and validation workflows.
RC-0072,"Jacksonville, FL",171 Fixture Rent St,6,2,2638,2,4673.62,0.0413,45,4.08,6.1,synthetic_fixture,0.71,Synthetic rent comp for v5 UI and validation workflows.
RC-0073,"San Antonio, TX",172 Fixture Rent St,3,1.5,1156,1,1426.25,0.0483,22,1.25,6.0,synthetic_fixture,0.91,Synthetic rent comp for v5 UI and validation workflows.
RC-0074,"Raleigh, NC",173 Fixture Rent St,3,1,1083,1,1706.3,0.0667,26,2.65,8.6,synthetic_fixture,0.57,Synthetic rent comp for v5 UI and validation workflows.
RC-0075,"Cleveland, OH",174 Fixture Rent St,2,1,2671,1,5585.53,0.0655,26,5.68,6.4,synthetic_fixture,0.56,Synthetic rent comp for v5 UI and validation workflows.
RC-0076,"Phoenix, AZ",175 Fixture Rent St,12,2,9072,4,12065.08,0.0207,29,5.81,7.1,synthetic_fixture,0.67,Synthetic rent comp for v5 UI and validation workflows.
RC-0077,"Tampa, FL",176 Fixture Rent St,1,3,1935,1,2936.43,0.0194,63,4.82,7.0,synthetic_fixture,0.82,Synthetic rent comp for v5 UI and validation workflows.
RC-0078,"Kansas City, MO",177 Fixture Rent St,16,2,3352,4,6136.62,0.029,77,4.35,5.1,synthetic_fixture,0.65,Synthetic rent comp for v5 UI and validation workflows.
RC-0079,"Columbus, OH",178 Fixture Rent St,4,2.5,1370,1,2593.6,0.0509,27,2.7,8.9,synthetic_fixture,0.89,Synthetic rent comp for v5 UI and validation workflows.
RC-0080,"Charlotte, NC",179 Fixture Rent St,2,1.5,4580,2,7602.19,0.0173,63,1.62,6.5,synthetic_fixture,0.56,Synthetic rent comp for v5 UI and validation workflows.
RC-0081,"Atlanta, GA",180 Fixture Rent St,2,2,1145,1,1860.15,0.078,26,2.51,7.6,synthetic_fixture,0.79,Synthetic rent comp for v5 UI and validation workflows.
RC-0082,"Indianapolis, IN",181 Fixture Rent St,2,1,1035,1,1941.68,0.0329,34,1.56,5.6,synthetic_fixture,0.67,Synthetic rent comp for v5 UI and validation workflows.
RC-0083,"Dallas, TX",182 Fixture Rent St,1,2,1035,1,2194.07,0.0232,24,2.44,9.1,synthetic_fixture,0.87,Synthetic rent comp for v5 UI and validation workflows.
RC-0084,"Jacksonville, FL",183 Fixture Rent St,1,1.5,1286,1,2383.32,0.0555,34,6.49,8.0,synthetic_fixture,0.55,Synthetic rent comp for v5 UI and validation workflows.
RC-0085,"San Antonio, TX",184 Fixture Rent St,12,1,7640,4,12048.75,0.0094,68,3.46,4.8,synthetic_fixture,0.67,Synthetic rent comp for v5 UI and validation workflows.
RC-0086,"Raleigh, NC",185 Fixture Rent St,3,1,683,1,1219.31,0.0247,47,1.62,7.0,synthetic_fixture,0.81,Synthetic rent comp for v5 UI and validation workflows.
RC-0087,"Cleveland, OH",186 Fixture Rent St,3,1.5,2564,1,2811.98,0.024,44,7.92,7.7,synthetic_fixture,0.78,Synthetic rent comp for v5 UI and validation workflows.
RC-0088,"Phoenix, AZ",187 Fixture Rent St,4,1,5532,4,8367.99,0.0022,28,2.61,6.0,synthetic_fixture,0.65,Synthetic rent comp for v5 UI and validation workflows.
RC-0089,"Tampa, FL",188 Fixture Rent St,8,1.5,5472,4,5976.95,0.0384,51,3.52,7.6,synthetic_fixture,0.92,Synthetic rent comp for v5 UI and validation workflows.
RC-0090,"Kansas City, MO",189 Fixture Rent St,12,1.5,5436,4,10765.68,0.0185,52,0.84,5.7,synthetic_fixture,0.86,Synthetic rent comp for v5 UI and validation workflows.
RC-0091,"Columbus, OH",190 Fixture Rent St,4,3,5740,4,10220.62,0.0634,42,1.1,7.6,synthetic_fixture,0.87,Synthetic rent comp for v5 UI and validation workflows.
RC-0092,"Charlotte, NC",191 Fixture Rent St,2,3,659,1,991.3,0.0596,37,3.34,5.4,synthetic_fixture,0.66,Synthetic rent comp for v5 UI and validation workflows.
RC-0093,"Atlanta, GA",192 Fixture Rent St,12,1.5,6368,4,13963.28,0.0378,16,7.52,8.0,synthetic_fixture,0.69,Synthetic rent comp for v5 UI and validation workflows.
RC-0094,"Indianapolis, IN",193 Fixture Rent St,16,2,6768,4,13048.61,0.065,25,2.35,7.9,synthetic_fixture,0.62,Synthetic rent comp for v5 UI and validation workflows.
RC-0095,"Dallas, TX",194 Fixture Rent St,12,1,4788,4,8213.25,0.036,29,2.79,8.4,synthetic_fixture,0.76,Synthetic rent comp for v5 UI and validation workflows.
RC-0096,"Jacksonville, FL",195 Fixture Rent St,3,3,1318,1,2924.51,0.0218,64,6.76,8.6,synthetic_fixture,0.64,Synthetic rent comp for v5 UI and validation workflows.
RC-0097,"San Antonio, TX",196 Fixture Rent St,4,2,4756,2,6611.1,0.0481,63,3.3,4.7,synthetic_fixture,0.72,Synthetic rent comp for v5 UI and validation workflows.
RC-0098,"Raleigh, NC",197 Fixture Rent St,4,3,11168,4,14425.6,0.0639,46,2.26,7.1,synthetic_fixture,0.9,Synthetic rent comp for v5 UI and validation workflows.
RC-0099,"Cleveland, OH",198 Fixture Rent St,4,2.5,1775,1,3963.83,0.0413,58,3.49,7.3,synthetic_fixture,0.78,Synthetic rent comp for v5 UI and validation workflows.
RC-0100,"Phoenix, AZ",199 Fixture Rent St,1,2.5,2521,1,2696.67,0.056,5,6.99,8.6,synthetic_fixture,0.71,Synthetic rent comp for v5 UI and validation workflows.
RC-0101,"Tampa, FL",200 Fixture Rent St,4,1,998,1,2061.4,0.0065,30,6.41,5.7,synthetic_fixture,0.9,Synthetic rent comp for v5 UI and validation workflows.
RC-0102,"Kansas City, MO",201 Fixture Rent St,8,2,2140,2,3111.7,0.0335,44,0.1,6.1,synthetic_fixture,0.75,Synthetic rent comp for v5 UI and validation workflows.
RC-0103,"Columbus, OH",202 Fixture Rent St,4,2.5,9520,4,20776.63,0.0393,40,2.16,8.7,synthetic_fixture,0.8,Synthetic rent comp for v5 UI and validation workflows.
RC-0104,"Charlotte, NC",203 Fixture Rent St,3,3,1813,1,3414.16,0.071,58,4.65,6.0,synthetic_fixture,0.88,Synthetic rent comp for v5 UI and validation workflows.
RC-0105,"Atlanta, GA",204 Fixture Rent St,1,2,1977,1,3877.61,0.0625,55,6.87,7.2,synthetic_fixture,0.9,Synthetic rent comp for v5 UI and validation workflows.
RC-0106,"Indianapolis, IN",205 Fixture Rent St,4,2,4110,2,5848.69,0.0721,74,3.53,6.7,synthetic_fixture,0.81,Synthetic rent comp for v5 UI and validation workflows.
RC-0107,"Dallas, TX",206 Fixture Rent St,16,1,5348,4,11388.09,0.0241,7,6.77,6.1,synthetic_fixture,0.91,Synthetic rent comp for v5 UI and validation workflows.
RC-0108,"Jacksonville, FL",207 Fixture Rent St,4,2.5,1975,1,4138.72,0.0596,51,7.01,5.9,synthetic_fixture,0.92,Synthetic rent comp for v5 UI and validation workflows.
RC-0109,"San Antonio, TX",208 Fixture Rent St,2,3,2334,1,4580.96,0.0517,76,2.03,8.0,synthetic_fixture,0.87,Synthetic rent comp for v5 UI and validation workflows.
RC-0110,"Raleigh, NC",209 Fixture Rent St,3,1.5,2228,1,2863.06,0.0015,13,0.27,4.9,synthetic_fixture,0.83,Synthetic rent comp for v5 UI and validation workflows.
RC-0111,"Cleveland, OH",210 Fixture Rent St,2,3,4390,2,7776.0,0.0519,3,6.1,7.5,synthetic_fixture,0.74,Synthetic rent comp for v5 UI and validation workflows.
RC-0112,"Phoenix, AZ",211 Fixture Rent St,4,2.5,1253,1,2678.74,0.028,51,6.1,4.7,synthetic_fixture,0.63,Synthetic rent comp for v5 UI and validation workflows.
RC-0113,"Tampa, FL",212 Fixture Rent St,2,2.5,2349,1,2879.91,0.0173,41,5.47,5.5,synthetic_fixture,0.77,Synthetic rent comp for v5 UI and validation workflows.
RC-0114,"Kansas City, MO",213 Fixture Rent St,8,1.5,5466,2,10861.27,0.0186,71,0.67,9.0,synthetic_fixture,0.62,Synthetic rent comp for v5 UI and validation workflows.
RC-0115,"Columbus, OH",214 Fixture Rent St,1,2.5,2451,1,4572.47,0.0571,9,3.64,5.5,synthetic_fixture,0.6,Synthetic rent comp for v5 UI and validation workflows.
RC-0116,"Charlotte, NC",215 Fixture Rent St,6,2.5,3768,2,5222.18,0.0369,57,1.47,6.4,synthetic_fixture,0.6,Synthetic rent comp for v5 UI and validation workflows.
RC-0117,"Atlanta, GA",216 Fixture Rent St,3,1,2257,1,3573.72,0.0408,73,7.33,7.3,synthetic_fixture,0.85,Synthetic rent comp for v5 UI and validation workflows.
RC-0118,"Indianapolis, IN",217 Fixture Rent St,3,3,2680,1,5921.26,0.0218,39,5.24,8.9,synthetic_fixture,0.86,Synthetic rent comp for v5 UI and validation workflows.
RC-0119,"Dallas, TX",218 Fixture Rent St,2,2.5,1216,1,2133.98,0.06,35,7.04,8.6,synthetic_fixture,0.91,Synthetic rent comp for v5 UI and validation workflows.
RC-0120,"Jacksonville, FL",219 Fixture Rent St,4,3,2600,1,3944.6,0.038,6,2.19,5.2,synthetic_fixture,0.9,Synthetic rent comp for v5 UI and validation workflows.
RC-0121,"San Antonio, TX",220 Fixture Rent St,2,2,4750,2,7650.8,0.0477,47,1.68,4.9,synthetic_fixture,0.67,Synthetic rent comp for v5 UI and validation workflows.
RC-0122,"Raleigh, NC",221 Fixture Rent St,4,1,3000,2,5496.27,0.0498,10,6.33,7.5,synthetic_fixture,0.57,Synthetic rent comp for v5 UI and validation workflows.
RC-0123,"Cleveland, OH",222 Fixture Rent St,3,2.5,787,1,1578.38,0.0286,67,1.29,8.0,synthetic_fixture,0.82,Synthetic rent comp for v5 UI and validation workflows.
RC-0124,"Phoenix, AZ",223 Fixture Rent St,3,2.5,1650,1,2772.66,0.0292,46,7.64,8.8,synthetic_fixture,0.87,Synthetic rent comp for v5 UI and validation workflows.
RC-0125,"Tampa, FL",224 Fixture Rent St,1,1,2335,1,3656.15,0.0689,7,2.16,4.6,synthetic_fixture,0.92,Synthetic rent comp for v5 UI and validation workflows.
RC-0126,"Kansas City, MO",225 Fixture Rent St,2,2,937,1,1051.24,0.0468,49,6.61,4.9,synthetic_fixture,0.77,Synthetic rent comp for v5 UI and validation workflows.
RC-0127,"Columbus, OH",226 Fixture Rent St,16,2,10820,4,18731.97,0.0795,14,4.43,7.7,synthetic_fixture,0.67,Synthetic rent comp for v5 UI and validation workflows.
RC-0128,"Charlotte, NC",227 Fixture Rent St,3,2.5,2484,1,4955.75,0.0341,42,5.87,6.7,synthetic_fixture,0.71,Synthetic rent comp for v5 UI and validation workflows.
RC-0129,"Atlanta, GA",228 Fixture Rent St,4,3,2741,1,4992.47,0.0389,3,2.32,6.7,synthetic_fixture,0.77,Synthetic rent comp for v5 UI and validation workflows.
RC-0130,"Indianapolis, IN",229 Fixture Rent St,4,3,4440,2,7579.4,0.0013,50,5.72,6.2,synthetic_fixture,0.68,Synthetic rent comp for v5 UI and validation workflows.
RC-0131,"Dallas, TX",230 Fixture Rent St,4,2,8740,4,9352.95,0.0575,32,5.56,4.5,synthetic_fixture,0.62,Synthetic rent comp for v5 UI and validation workflows.
RC-0132,"Jacksonville, FL",231 Fixture Rent St,3,1,2683,1,4178.44,0.0252,64,5.48,7.4,synthetic_fixture,0.71,Synthetic rent comp for v5 UI and validation workflows.
RC-0133,"San Antonio, TX",232 Fixture Rent St,3,1,924,1,1251.14,0.0173,14,4.3,6.3,synthetic_fixture,0.66,Synthetic rent comp for v5 UI and validation workflows.
RC-0134,"Raleigh, NC",233 Fixture Rent St,2,3,2497,1,5221.57,0.0473,14,2.1,7.9,synthetic_fixture,0.74,Synthetic rent comp for v5 UI and validation workflows.
RC-0135,"Cleveland, OH",234 Fixture Rent St,3,1.5,1719,1,2743.95,0.0002,44,4.89,5.8,synthetic_fixture,0.56,Synthetic rent comp for v5 UI and validation workflows.
RC-0136,"Phoenix, AZ",235 Fixture Rent St,4,1.5,1575,1,3133.79,0.0671,13,4.34,8.0,synthetic_fixture,0.81,Synthetic rent comp for v5 UI and validation workflows.
RC-0137,"Tampa, FL",236 Fixture Rent St,8,2.5,4688,2,6666.86,0.0242,29,0.81,5.5,synthetic_fixture,0.69,Synthetic rent comp for v5 UI and validation workflows.
RC-0138,"Kansas City, MO",237 Fixture Rent St,12,3,5676,4,6018.8,0.0299,37,7.22,9.1,synthetic_fixture,0.84,Synthetic rent comp for v5 UI and validation workflows.
RC-0139,"Columbus, OH",238 Fixture Rent St,12,1.5,3884,4,5706.04,0.0555,65,4.45,6.0,synthetic_fixture,0.87,Synthetic rent comp for v5 UI and validation workflows.
RC-0140,"Charlotte, NC",239 Fixture Rent St,12,1,3548,4,7169.14,0.0733,73,7.84,6.1,synthetic_fixture,0.85,Synthetic rent comp for v5 UI and validation workflows.
RC-0141,"Atlanta, GA",240 Fixture Rent St,2,1.5,2193,1,3515.07,0.043,15,4.74,6.0,synthetic_fixture,0.83,Synthetic rent comp for v5 UI and validation workflows.
RC-0142,"Indianapolis, IN",241 Fixture Rent St,4,1,4100,4,6999.84,0.0794,71,0.61,5.7,synthetic_fixture,0.69,Synthetic rent comp for v5 UI and validation workflows.
RC-0143,"Dallas, TX",242 Fixture Rent St,2,2,1170,1,2216.32,0.0732,16,5.54,8.6,synthetic_fixture,0.76,Synthetic rent comp for v5 UI and validation workflows.
RC-0144,"Jacksonville, FL",243 Fixture Rent St,1,1.5,863,1,1776.49,0.0051,43,1.32,8.8,synthetic_fixture,0.66,Synthetic rent comp for v5 UI and validation workflows.
RC-0145,"San Antonio, TX",244 Fixture Rent St,1,1.5,1861,1,3570.28,0.02,45,7.07,6.2,synthetic_fixture,0.62,Synthetic rent comp for v5 UI and validation workflows.
RC-0146,"Raleigh, NC",245 Fixture Rent St,1,1.5,907,1,1301.43,0.0047,42,2.44,6.6,synthetic_fixture,0.75,Synthetic rent comp for v5 UI and validation workflows.
RC-0147,"Cleveland, OH",246 Fixture Rent St,4,2,844,1,1510.73,0.0491,41,5.34,6.0,synthetic_fixture,0.72,Synthetic rent comp for v5 UI and validation workflows.
RC-0148,"Phoenix, AZ",247 Fixture Rent St,6,2,3244,2,6323.12,0.079,41,1.05,7.1,synthetic_fixture,0.91,Synthetic rent comp for v5 UI and validation workflows.
RC-0149,"Tampa, FL",248 Fixture Rent St,12,2,4208,4,5132.21,0.0122,56,2.52,4.9,synthetic_fixture,0.78,Synthetic rent comp for v5 UI and validation workflows.
